CommonName,Latitude,Longitude,ObservationDate,ObservationCondition,TransfToRehab,DiedAtSite,FinddingsOfHI
"Seal, harbor",47.1885,-122.6952,2021-07-19,Fresh Dead,,,CBD
"Seal, harbor",47.5777,-122.6857,2021-07-19,Moderate Decomposition,,,CBD
"Seal, harbor",48.5124,-122.7768,2021-07-20,Alive,Y,,Y
"Seal, harbor",48.6013,-123.1522,2021-07-21,Alive,Y,,Y
"Seal, harbor",48.6735,-123.1681,2021-07-21,Alive,,,N
"Seal, harbor",48.6607,-123.1453,2021-07-21,Alive,Y,,Y
"Seal, harbor",47.7272,-122.6442,2021-07-21,Alive,,,Y
"Seal, harbor",47.349,-123.0678,2021-07-21,Alive,Y,,Y
"Seal, harbor",48.212362,-122.355275,2021-07-22,Alive,,,CBD
"Seal, harbor",48.166,-123.705,2021-07-23,Alive,,,N
"Seal, harbor",48.677,-123.1989,2021-07-23,Alive,,,N
"Seal, harbor",47.309,-122.865,2021-07-23,Alive,,Y,CBD
"Seal, harbor",48.7193,-122.5158,2021-07-24,Alive,Y,,CBD
"Seal, harbor",48.6389,-123.0188,2021-07-24,Alive,,,CBD
"Seal, harbor",48.5206,-123.0068,2021-07-24,Alive,,,N
"Seal, harbor",47.1723,-122.6029,2021-07-24,Alive,Y,,Y
"Seal, harbor",47.338,-122.826,2021-07-24,Alive,,,CBD
"Seal, harbor",48.59279,-122.46267,2021-07-25,Moderate Decomposition,,,CBD
"Seal, harbor",48.5389,-122.8582,2021-07-25,Alive,,,Y
"Seal, harbor",48.6609,-123.1898,2021-07-25,Alive,,,N
"Seal, harbor",47.3308,-122.5763,2021-07-25,Alive,Y,,Y
"Seal, harbor",47.3577,-123.1011,2021-07-25,Alive,,,N
"Seal, harbor",47.386723,-122.458939,2021-07-26,Alive,Y,,Y
"Seal, harbor",48.5146,-123.1513,2021-07-26,Alive,,,Y
"Seal, harbor",48.5199,-122.9768,2021-07-26,Alive,,,N
"Seal, harbor",47.2111,-122.7471,2021-07-26,Alive,,,Y
"Seal, harbor",47.251,-122.5528,2021-07-26,Condition Unknown,,,CBD
"Seal, harbor",48.5742,-122.4545,2021-07-27,Alive,,,CBD
"Seal, harbor",48.7356,-122.72,2021-07-27,Alive,Y,,CBD
"Seal, harbor",47.0577,-122.8996,2021-07-27,Moderate Decomposition,,,CBD
"Seal, harbor",48.7843,-122.9645,2021-07-28,Alive,,,N
"Seal, harbor",47.5435,-122.5051,2021-07-28,Alive,Y,,Y
"Seal, harbor",48.058889,-122.696389,2021-07-29,Fresh Dead,,,N
"Seal, harbor",47.8821,-122.3253,2021-07-29,Moderate Decomposition,,,CBD
"Seal, harbor",48.5278,-123.0011,2021-07-29,Alive,,,N
"Seal, harbor",47.3479,-122.5563,2021-07-30,Moderate Decomposition,,,CBD
"Seal, harbor",47.5713,-123.0113,2021-07-30,Mummified/Skeletal,,,CBD
"Seal, harbor",48.5363,-122.8517,2021-07-31,Fresh Dead,,,CBD
"Seal, harbor",48.5915,-123.034,2021-07-31,Moderate Decomposition,,,CBD
"Seal, harbor",47.4147,-122.9158,2021-07-31,Condition Unknown,,,CBD
"Seal, harbor",47.5748,-122.672,2021-08-01,Fresh Dead,,,CBD
"Seal, harbor",47.5748,-122.672,2021-08-01,Moderate Decomposition,,,CBD
"Seal, harbor",48.03944,-122.69833,2021-08-02,Fresh Dead,,,CBD
"Seal, harbor",47.370468,-122.455229,2021-08-02,Alive,Y,,CBD
"Seal, harbor",48.121,-123.434,2021-08-02,Moderate Decomposition,,,CBD
"Seal, harbor",48.40111,-122.40067,2021-08-03,Moderate Decomposition,,,CBD
"Seal, harbor",48.205814,-122.445072,2021-08-03,Alive,,Y,N
"Seal, harbor",48.5207,-123.0069,2021-08-03,Moderate Decomposition,,,CBD
"Seal, harbor",47.3121,-122.6855,2021-08-03,Alive,Y,,CBD
"Seal, harbor",48.99208,-122.75337,2021-08-04,Moderate Decomposition,,,CBD
"Seal, harbor",48.992,-122.753,2021-08-04,Advanced Decomposition,,,CBD
"Seal, harbor",46.984,-124.1748,2021-08-04,Fresh Dead,,,CBD
"Seal, harbor",46.7721,-124.1058,2021-08-04,Fresh Dead,,,Y
"Seal, harbor",47.2158,-122.6612,2021-08-05,Fresh Dead,,,CBD
"Seal, harbor",47.2164,-122.6609,2021-08-05,Mummified/Skeletal,,,CBD
"Seal, harbor",47.357,-123.1008,2021-08-05,Alive,,,CBD
"Seal, harbor",47.1064,-122.7412,2021-08-05,Fresh Dead,,,CBD
"Seal, harbor",47.581,-122.405,2021-08-06,Condition Unknown,,,CBD
"Seal, harbor",48.163,-122.6415,2021-08-08,Fresh Dead,,,CBD
"Seal, harbor",47.511796,-122.394355,2021-08-08,Fresh Dead,,,N
"Seal, harbor",48.5416,-123.16,2021-08-08,Moderate Decomposition,,,N
"Seal, harbor",47.338,-122.6637,2021-08-08,Moderate Decomposition,,,CBD
"Seal, harbor",47.297,-122.6884,2021-08-08,Moderate Decomposition,,,CBD
"Seal, harbor",48.050469,-122.8375,2021-08-09,Moderate Decomposition,,,CBD
"Seal, harbor",47.58308,-122.40231,2021-08-09,Moderate Decomposition,,,CBD
"Seal, harbor",47.3315,-122.6558,2021-08-09,Fresh Dead,,,CBD
"Seal, harbor",47.605,-122.9829,2021-08-09,Fresh Dead,,,CBD
"Seal, harbor",47.075,-122.924,2021-08-09,Advanced Decomposition,,,CBD
"Seal, harbor",48.044639,-122.826694,2021-08-10,Fresh Dead,,,N
"Seal, harbor",47.2674,-122.6308,2021-08-10,Alive,Y,,CBD
"Seal, harbor",47.0428,-124.1759,2021-08-10,Fresh Dead,,,CBD
"Seal, harbor",47.7381,-122.6502,2021-08-10,Moderate Decomposition,,,CBD
"Seal, harbor",47.425,-123.0973,2021-08-10,Condition Unknown,,,CBD
"Seal, harbor",48.4507,-123.0246,2021-08-11,Fresh Dead,,,CBD
"Seal, harbor",47.2161,-122.6614,2021-08-12,Moderate Decomposition,,,CBD
"Seal, harbor",47.3211,-122.6866,2021-08-12,Moderate Decomposition,,,CBD
"Seal, harbor",47.3217,-122.687,2021-08-12,Advanced Decomposition,,,CBD
"Seal, harbor",47.6218,-122.512,2021-08-12,Advanced Decomposition,,,CBD
"Seal, harbor",47.3785,-123.149,2021-08-12,Alive,Y,,CBD
"Seal, harbor",47.6534,-122.8351,2021-08-13,Moderate Decomposition,,,CBD
"Seal, harbor",47.2991,-122.6865,2021-08-15,Fresh Dead,,,Y
"Seal, harbor",47.997353,-122.882309,2021-08-16,Fresh Dead,,,CBD
"Seal, harbor",47.8564,-122.59,2021-08-17,Moderate Decomposition,,,Y
"Seal, harbor",46.9417,-124.1155,2021-08-17,Advanced Decomposition,,,CBD
"Seal, harbor",48.0928647,-122.7228665,2021-08-18,Fresh Dead,,,N
"Seal, harbor",47.57175,-122.345167,2021-08-18,Alive,,Y,CBD
"Seal, harbor",47.2175,-122.6593,2021-08-18,Advanced Decomposition,,,CBD
"Seal, harbor",47.2157,-122.6612,2021-08-18,Advanced Decomposition,,,CBD
"Seal, harbor",47.061,-122.901,2021-08-18,Condition Unknown,,,CBD
"Seal, harbor",48.5587,-122.8927,2021-08-19,Moderate Decomposition,,,N
"Seal, harbor",47.527644,-122.397,2021-08-19,Alive,,,CBD
"Seal, harbor",47.6632416,-122.9038794,2021-08-20,Fresh Dead,,,CBD
"Seal, harbor",48.095377,-122.416162,2021-08-21,Fresh Dead,,,N
"Seal, harbor",47.0784,-122.9027,2021-08-21,Advanced Decomposition,,,CBD
"Seal, harbor",48.158,-122.6698,2021-08-23,Fresh Dead,,,CBD
"Seal, harbor",47.311,-122.5249,2021-08-23,Fresh Dead,,,CBD
"Seal, harbor",47.135,-122.841,2021-08-23,Fresh Dead,,,CBD
"Seal, harbor",47.2186,-122.6586,2021-08-24,Fresh Dead,,,CBD
"Seal, harbor",47.2159,-122.6613,2021-08-24,Moderate Decomposition,,,CBD
"Seal, harbor",46.35445,-124.06573,2021-08-24,Condition Unknown,,,CBD
"Seal, harbor",47.368837,-122.43267,2021-08-25,Moderate Decomposition,,,CBD
"Seal, harbor",47.529,-122.399,2021-08-27,Alive,Y,,CBD
"Seal, harbor",47.8777,-124.5867,2021-08-28,Moderate Decomposition,,,CBD
"Seal, harbor",48.106944,-122.883056,2021-08-29,Moderate Decomposition,,,CBD
"Seal, harbor",47.378164,-122.413814,2021-08-29,Advanced Decomposition,,,CBD
"Seal, harbor",48.0984,-123.0475,2021-08-30,Advanced Decomposition,,,CBD
"Seal, harbor",48.9715508,-123.0821992,2021-08-30,Moderate Decomposition,,,CBD
"Seal, harbor",48.141,-123.429,2021-08-30,Moderate Decomposition,,,CBD
"Seal, harbor",47.133,-122.905,2021-08-30,Moderate Decomposition,,,Y
"Seal, harbor",48.7653,-122.8893,2021-08-31,Moderate Decomposition,,,N
"Seal, harbor",47.07,-122.899,2021-08-31,Fresh Dead,,,Y
"Seal, harbor",47.0,-122,2021-09-01,Alive,,Y,CBD
"Seal, harbor",47.0,-123,2021-09-02,Fresh Dead,,,CBD
"Seal, harbor",47.0,-123,2021-09-03,Condition Unknown,,,CBD
"Seal, harbor",48.0,-123,2021-09-04,Fresh Dead,,,CBD
"Seal, harbor",47.0,-123,2021-09-04,Condition Unknown,,,CBD
"Seal, harbor",48.13503,-122.32029,2021-09-04,Moderate Decomposition,,,N
"Seal, harbor",48.13503,-122.32029,2021-09-04,Moderate Decomposition,,,N
"Seal, harbor",47.0,-123,2021-09-05,Alive,Y,,CBD
"Seal, harbor",47.0,-123,2021-09-05,Fresh Dead,,,CBD
"Seal, harbor",48.0,-123,2021-09-05,Advanced Decomposition,,,CBD
"Seal, harbor",47.0,-123,2021-09-05,Condition Unknown,,,CBD
